county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,01-01,U.S. House,,DEMOCRATIC,Barney S,32,0,32
New Castle,01-01,U.S. House,,DEMOCRATIC,Miller M,12,2,14
New Castle,01-01,U.S. House,,DEMOCRATIC,Rochester,257,16,273
New Castle,01-01,U.S. House,,DEMOCRATIC,Townsend B,34,3,37
New Castle,01-01,U.S. House,,DEMOCRATIC,Walker S,22,1,23
New Castle,02-01,U.S. House,,DEMOCRATIC,Barney S,40,1,41
New Castle,02-01,U.S. House,,DEMOCRATIC,Miller M,22,1,23
New Castle,02-01,U.S. House,,DEMOCRATIC,Rochester,458,18,476
New Castle,02-01,U.S. House,,DEMOCRATIC,Townsend B,43,1,44
New Castle,02-01,U.S. House,,DEMOCRATIC,Walker S,28,0,28
New Castle,03-01,U.S. House,,DEMOCRATIC,Barney S,26,1,27
New Castle,03-01,U.S. House,,DEMOCRATIC,Miller M,15,0,15
New Castle,03-01,U.S. House,,DEMOCRATIC,Rochester,237,9,246
New Castle,03-01,U.S. House,,DEMOCRATIC,Townsend B,14,0,14
New Castle,03-01,U.S. House,,DEMOCRATIC,Walker S,25,1,26
New Castle,04-01,U.S. House,,DEMOCRATIC,Barney S,30,0,30
New Castle,04-01,U.S. House,,DEMOCRATIC,Miller M,25,0,25
New Castle,04-01,U.S. House,,DEMOCRATIC,Rochester,314,5,319
New Castle,04-01,U.S. House,,DEMOCRATIC,Townsend B,31,1,32
New Castle,04-01,U.S. House,,DEMOCRATIC,Walker S,33,2,35
New Castle,05-01,U.S. House,,DEMOCRATIC,Barney S,71,3,74
New Castle,05-01,U.S. House,,DEMOCRATIC,Miller M,22,0,22
New Castle,05-01,U.S. House,,DEMOCRATIC,Rochester,285,19,304
New Castle,05-01,U.S. House,,DEMOCRATIC,Townsend B,132,10,142
New Castle,05-01,U.S. House,,DEMOCRATIC,Walker S,37,0,37
New Castle,06-01,U.S. House,,DEMOCRATIC,Barney S,24,1,25
New Castle,06-01,U.S. House,,DEMOCRATIC,Miller M,17,0,17
New Castle,06-01,U.S. House,,DEMOCRATIC,Rochester,117,8,125
New Castle,06-01,U.S. House,,DEMOCRATIC,Townsend B,19,0,19
New Castle,06-01,U.S. House,,DEMOCRATIC,Walker S,10,0,10
New Castle,07-01,U.S. House,,DEMOCRATIC,Barney S,12,0,12
