county,election_district,office,district,party,candidate,votes
New Castle,01-01,Governor,,REPUBLICAN,Graham D C,4
New Castle,01-01,Governor,,REPUBLICAN,Lee W S,24
New Castle,01-01,Governor,,REPUBLICAN,Protack M,3
New Castle,02-01,Governor,,REPUBLICAN,Graham D C,4
New Castle,02-01,Governor,,REPUBLICAN,Lee W S,13
New Castle,02-01,Governor,,REPUBLICAN,Protack M,0
New Castle,03-01,Governor,,REPUBLICAN,Graham D C,2
New Castle,03-01,Governor,,REPUBLICAN,Lee W S,5
New Castle,03-01,Governor,,REPUBLICAN,Protack M,4
New Castle,04-01,Governor,,REPUBLICAN,Graham D C,1
New Castle,04-01,Governor,,REPUBLICAN,Lee W S,10
New Castle,04-01,Governor,,REPUBLICAN,Protack M,2
New Castle,05-01,Governor,,REPUBLICAN,Graham D C,1
New Castle,05-01,Governor,,REPUBLICAN,Lee W S,26
New Castle,05-01,Governor,,REPUBLICAN,Protack M,5
New Castle,06-01,Governor,,REPUBLICAN,Graham D C,5
New Castle,06-01,Governor,,REPUBLICAN,Lee W S,7
New Castle,06-01,Governor,,REPUBLICAN,Protack M,1
New Castle,07-01,Governor,,REPUBLICAN,Graham D C,1
New Castle,07-01,Governor,,REPUBLICAN,Lee W S,5
New Castle,07-01,Governor,,REPUBLICAN,Protack M,2
New Castle,08-01,Governor,,REPUBLICAN,Graham D C,2
New Castle,08-01,Governor,,REPUBLICAN,Lee W S,3
New Castle,08-01,Governor,,REPUBLICAN,Protack M,4
New Castle,09-01,Governor,,REPUBLICAN,Graham D C,1
New Castle,09-01,Governor,,REPUBLICAN,Lee W S,7
New Castle,09-01,Governor,,REPUBLICAN,Protack M,1
New Castle,10-01,Governor,,REPUBLICAN,Graham D C,5
New Castle,10-01,Governor,,REPUBLICAN,Lee W S,6
New Castle,10-01,Governor,,REPUBLICAN,Protack M,5
New Castle,11-01,Governor,,REPUBLICAN,Graham D C,3
New Castle,11-01,Governor,,REPUBLICAN,Lee W S,8
New Castle,11-01,Governor,,REPUBLICAN,Protack M,2
New Castle,01-02,Governor,,REPUBLICAN,Graham D C,0
New Castle,01-02,Governor,,REPUBLICAN,Lee W S,0
New Castle,01-02,Governor,,REPUBLICAN,Protack M,0
New Castle,02-02,Governor,,REPUBLICAN,Graham D C,5
New Castle,02-02,Governor,,REPUBLICAN,Lee W S,3
New Castle,02-02,Governor,,REPUBLICAN,Protack M,0
New Castle,03-02,Governor,,REPUBLICAN,Graham D C,1
New Castle,03-02,Governor,,REPUBLICAN,Lee W S,2
New Castle,03-02,Governor,,REPUBLICAN,Protack M,0
New Castle,04-02,Governor,,REPUBLICAN,Graham D C,1
New Castle,04-02,Governor,,REPUBLICAN,Lee W S,1
New Castle,04-02,Governor,,REPUBLICAN,Protack M,0
New Castle,05-02,Governor,,REPUBLICAN,Graham D C,4
New Castle,05-02,Governor,,REPUBLICAN,Lee W S,12
New Castle,05-02,Governor,,REPUBLICAN,Protack M,2
New Castle,06-02,Governor,,REPUBLICAN,Graham D C,2
New Castle,06-02,Governor,,REPUBLICAN,Lee W S,12
New Castle,06-02,Governor,,REPUBLICAN,Protack M,1
New Castle,08-02,Governor,,REPUBLICAN,Graham D C,4
